12.1	0.02	0.1	1	0.15	0.07	1.03	1.04
12.3	0.02	0.07	0.97	0.15	0.07	1.02	1
12.5	0.03	0.08	0.95	0.15	0.07	1.01	0.96
12.7	0.05	0.1	0.95	0.15	0.07	1.01	0.98
12.9	0.08	0.14	1	0.16	0.07	1.05	1.04
13.1	0.12	0.18	1.1	0.17	0.08	1.09	1.14
13.3	0.15	0.23	1.2	0.19	0.08	1.2	1.24
13.5	0.17	0.28	1.28	0.21	0.08	1.3	1.35
13.7	0.2	0.34	1.4	0.23	0.08	1.43	1.48
13.9	0.26	0.4	1.52	0.25	0.08	1.55	1.6
14.1	0.3	0.47	1.64	0.27	0.08	1.68	1.72
14.3	0.38	0.55	1.8	0.29	0.08	1.85	1.88
14.5	0.42	0.62	1.9	0.31	0.08	2	2
14.7	0.47	0.7	2.03	0.33	0.08	2.12	2.1
14.9	0.5	0.75	2.13	0.35	0.08	2.22	2.2
15.1	0.52	0.8	2.18	0.37	0.09	2.3	2.3
15.3	0.54	0.83	2.27	0.39	0.09	2.38	2.4
15.5	0.58	0.87	2.35	0.41	0.09	2.45	2.48
15.7	0.62	0.92	2.44	0.43	0.1	2.55	2.55
15.9	0.65	0.97	2.55	0.46	0.1	2.63	2.63
16.1	0.7	1.02	2.64	0.48	0.11	2.72	2.75
16.3	0.74	1.08	2.76	0.51	0.12	2.8	2.85
16.5	0.78	1.15	2.85	0.53	0.12	2.93	2.97
16.7	0.82	1.22	2.93	0.56	0.13	3.05	3.06
16.9	0.87	1.28	3.08	0.6	0.14	3.18	3.16
17.1	0.92	1.36	3.23	0.64	0.15	3.32	3.32
17.3	0.99	1.44	3.45	0.69	0.16	3.48	3.48
17.5	1.06	1.54	3.62	0.74	0.18	3.7	3.66
17.7	1.14	1.66	3.8	0.78	0.2	3.9	3.88
17.9	1.21	1.75	3.94	0.82	0.22	4.06	4.04
18.1	1.28	1.85	4.1	0.86	0.24	4.23	4.2
18.3	1.35	1.97	4.37	0.9	0.26	4.44	4.4
18.5	1.45	2.08	4.53	0.94	0.28	4.65	4.58
18.7	1.52	2.19	4.72	0.97	0.3	4.82	4.8
18.9	1.58	2.32	4.9	1	0.32	5	4.97
19.1	1.62	2.43	5.07	1.02	0.34	5.2	5.14
19.3	1.66	2.53	5.22	1.04	0.36	5.36	5.32
19.5	1.68	2.63	5.4	1.05	0.38	5.5	5.5
19.7	1.69	2.71	5.55	1.06	0.39	5.7	5.68
19.9	1.7	2.8	5.68	1.06	0.41	5.87	5.82
20.1	1.71	2.88	5.8	1.07	0.42	6	5.95
20.3	1.72	2.95	5.88	1.07	0.44	6.1	6.05
20.5	1.73	3.02	5.96	1.07	0.45	6.2	6.13
20.7	1.73	3.08	6.05	1.07	0.46	6.3	6.22
20.9	1.74	3.15	6.08	1.07	0.47	6.38	6.3
21.1	1.74	3.2	-9999	1.07	0.48	6.44	6.4
21.3	1.75	3.25	-9999	1.07	0.49	6.5	6.5
21.5	1.76	3.3	-9999	1.06	0.5	6.56	6.6
